EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
5,COAHUILA,7,CUATROCIENEGAS,9,9461.0,4.762995099385096,0.9804224846560996,0.0353469030422411,0.0064669733035755,0.0145823446174115,0.9657215847360784,1.1351801720617165,0.3097589364790342,0.4241588749453806,0.9405227105179298,-0.0374820438188572,-0.8272892360683415,0.1213032269014849,G0,Tipica
5,COAHUILA,4,ARTEAGA,19,18337.0,34.76389444320124,0.9844603069177356,0.1097191963205035,0.0082830282908174,0.0349229847101286,0.8691971373075206,0.9454094800408024,0.4349394171640989,1.9150458572992828,0.2555736438819759,0.0092159549852049,0.794619334314004,-0.2040467872955708,G0,Tipica
5,COAHUILA,28,SABINAS,3,49398.0,252.3655930581316,0.9864163421649824,0.0798085120335759,0.005874626326791,0.0300374027799006,0.8344821271559449,0.5286914447531956,0.4487636735499326,0.6315934826511365,0.1545982435703726,-0.7964707564949655,0.3098317844863842,0.4813127920999436,G0,Tipica
5,COAHUILA,15,JUAREZ,3,1334.0,529.6087685419757,0.9771678575487942,0.056215360253365,0.0161778435009147,0.0254002205185826,0.98807159154379,2.459794997834336,1.869939215834116,0.0692032499939214,1.3458424983160318,0.3734218625700517,0.3970776559168075,-0.0493880772574788,G4,Tipica
5,COAHUILA,32,SAN JUAN DE SABINAS,2,33084.0,2583.4595227536643,0.9796859646835392,0.1054900257292745,0.0084703773529335,0.0347780555302849,0.9161340239023786,0.919619267439426,2.0738570170506097,0.7540944607065289,-0.3240693403979249,-0.5021728585771426,0.1461694333179842,-0.4712277810245788,G0,Atípica en segundo ICE
5,COAHUILA,22,NAVA,2,22484.0,40.98263869429814,0.9861050787349672,0.071227785983134,0.0063072232975396,0.0271228178676066,0.8607648932961374,0.7904581055677978,0.3239122632606867,0.4491729287510146,0.3048681857930924,-0.8371499589989112,0.2228761120831759,0.4258736217435269,G0,Tipica
5,COAHUILA,29,SACRAMENTO,0,1901.0,965.434891108779,0.9719186565839844,0.0856653340948029,0.0070674213433503,0.0310475375218427,0.4781543545324129,1.8357221725715624,1.542930885344045,0.2503399658088278,-0.9544613342336328,0.5592841205055287,-0.7766828360126821,0.0425415727881159,G4,Tipica
5,COAHUILA,3,ALLENDE,2,18025.0,277.32674898591154,0.980263223943794,0.0603564915583269,0.0064333624328511,0.0215620023701893,0.8422743901048857,1.197307980659157,0.7176440649319782,0.3067234310312439,0.2188026590949646,-0.3105074751450118,-0.4932884562199945,0.3167156164436857,G0,Tipica
5,COAHUILA,10,FRONTERA,0,59692.0,3190.897694203245,0.9887607755009225,0.0445342712653332,0.0031414461174324,0.0167136623010602,0.8665634721139247,-0.8094853621469951,0.853971074100586,-0.3252938333386032,0.364010580226291,-1.2696825277629915,-0.3561175307688618,-0.4074209897119903,G1,Tipica
5,COAHUILA,37,VILLA UNION,3,5134.0,16.51415763779405,0.986068823619336,0.0649242895664799,0.0051880400104879,0.0227137446749658,0.767705643171318,0.708018653277572,0.032986239216575,0.3408955796236519,0.1899218628042747,-0.7535750702669015,0.0464407750651707,0.3134184014442627,G0,Tipica
5,COAHUILA,21,NADADORES,3,4934.0,730.3693074285846,0.981523981882365,0.0372083245743115,0.0030253852632348,0.0134837637727754,0.5017349695304645,0.502949293037317,0.0463774829499035,-0.280675883018369,-0.0972455973374996,-0.1037787542938991,-0.9128297865519364,0.0859129908641541,G2,Tipica
